0.0000000000000000E+00	0.0000000000000000E+00
1.5000000000000000E+01	1.5000000000000000E+00
2.2500000000000000E+01	1.8000000000000000E+00
3.0000000000000000E+01	1.9000000000000002E+00
3.5000000000000000E+01	2.0999999999999998E+00
4.7000000000000000E+01	1.7000000000000000E+00
5.5000000000000000E+01	1.6000000000000000E+00
7.5000000000000000E+01	1.3000000000000000E+00
1.1000000000000000E+02	1.2000000000000000E+00
1.2000000000000000E+02	1.0000000000000000E+00
1.8000000000000000E+02	0.8000000000000000E+00
2.2000000000000000E+02	0.0000000000000000E+00
